prev	curr	type	n
Philosophy	Physics	other	49
other-empty	Art	external	50
Chemistry	Religion	other	45
Music	Wikipedia	link	47
other-search	Sports	other	56
other-internal	World_War_II	other	50
World_War_II	Religion	link	63
World_War_II	Literature	external	43
Chemistry	History	link	53
other-empty	Main_Page	other	46
History	Physics	other	53
Science	Music	external	61
Science	Mathematics	link	50
Sports	Music	external	72
United_States	Music	other	59
Science	Science	link	37
History	Mathematics	external	53
Biology	Religion	link	50
Biology	Chemistry	other	43
Earth	Wikipedia	external	45
History	Earth	external	44
Music	Biology	external	47
World_War_II	English_language	link	49
Wikipedia	English_language	external	56
Physics	Geography	external	56
Geography	World_War_II	external	49
Music	Main_Page	other	51
Main_Page	Sports	external	56
Physics	Biology	link	48
Chemistry	Geography	other	51
Religion	Wikipedia	external	46
Main_Page	Earth	external	38
Technology	Sports	link	52
Chemistry	Wikipedia	other	48
other-empty	History	other	48
other-empty	World_War_II	link	46
United_States	English_language	link	52
Art	Religion	link	48
Philosophy	Sports	other	49
other-empty	Main_Page	other	50
Mathematics	Wikipedia	link	62
Physics	Earth	external	46
Literature	Technology	other	52
Mathematics	World_War_II	link	52
other-empty	World_War_II	link	45
Religion	Earth	other	37
English_language	Wikipedia	link	63
Philosophy	Art	other	45
United_States	Earth	other	52
Literature	World_War_II	link	49
Mathematics	World_War_II	link	60
other-internal	English_language	external	44
Physics	Science	external	53
English_language	English_language	other	53
other-search	Technology	external	55
Music	Main_Page	external	57
Religion	Science	external	46
United_States	World_War_II	external	49
other-internal	United_States	other	44
other-empty	Main_Page	link	42
Physics	Earth	external	50
Literature	Literature	other	57
United_States	Technology	external	44
Biology	Physics	external	45
Technology	Sports	other	45
World_War_II	Chemistry	link	43
United_States	Earth	link	49
Wikipedia	Earth	other	54
Main_Page	Literature	other	58
Sports	United_States	link	50
Philosophy	Technology	link	50
World_War_II	Sports	other	52
Physics	English_language	other	49
Philosophy	Earth	other	47
World_War_II	Physics	other	52
Biology	Music	link	47
World_War_II	Philosophy	link	53
Chemistry	Sports	external	64
Literature	History	other	44
Chemistry	Sports	link	55
Philosophy	United_States	external	66
English_language	Earth	external	65
English_language	Music	other	53
Religion	Technology	other	50
Mathematics	Literature	external	45
other-search	Literature	other	61
other-search	Biology	link	42
Technology	Main_Page	external	44
Physics	Chemistry	link	47
other-internal	Chemistry	link	51
Main_Page	History	other	68
Biology	History	external	52
Art	Art	link	46
Literature	Physics	link	55
Religion	Biology	link	54
World_War_II	Religion	link	61
other-external	Religion	other	42
other-internal	Literature	other	42
other-external	Physics	external	48
Geography	Art	external	53
Religion	Chemistry	external	54
United_States	Mathematics	other	55
other-external	Art	other	56
other-empty	Science	other	49
other-external	Philosophy	link	48
Mathematics	Philosophy	external	41
other-internal	Literature	other	45
Art	Biology	other	43
other-external	Religion	external	62
Earth	Science	external	39
Chemistry	Geography	other	65
other-search	English_language	external	34
other-external	Main_Page	link	50
Technology	Physics	external	49
Art	Technology	external	47
Biology	Technology	link	49
Science	Religion	other	44
Geography	History	external	54
other-search	Mathematics	other	55
Earth	Main_Page	external	55
Religion	Main_Page	other	48
Technology	Technology	link	53
Chemistry	Sports	other	50
Geography	English_language	other	62
Philosophy	Philosophy	external	53
Physics	Mathematics	external	58
Science	Biology	link	52
Literature	Physics	other	42
English_language	English_language	other	48
Main_Page	World_War_II	external	53
Music	World_War_II	link	43
Literature	Literature	external	60
Mathematics	Mathematics	other	41
Literature	Chemistry	external	43
Chemistry	World_War_II	external	49
Music	English_language	external	35
Art	Art	other	58
Earth	Religion	external	54
Main_Page	United_States	other	45
Music	Physics	other	48
Main_Page	Wikipedia	other	63
Mathematics	Main_Page	other	52
Music	Literature	other	50
Music	Literature	other	62
World_War_II	History	link	46
other-search	Wikipedia	other	49
Physics	Earth	external	48
Literature	Chemistry	other	51
other-internal	Philosophy	link	48
Technology	Chemistry	link	64
Literature	English_language	external	49
English_language	Sports	link	46
Philosophy	Mathematics	link	45
other-external	Physics	link	44
English_language	History	other	55
Literature	Physics	other	34
Mathematics	World_War_II	external	39
other-search	Chemistry	external	49
Chemistry	Art	other	48
Mathematics	Main_Page	other	49
World_War_II	Music	link	49
Art	United_States	external	49
History	Religion	link	45
Art	Philosophy	external	43
Mathematics	Wikipedia	other	43
Biology	World_War_II	other	58
Technology	Physics	link	50
other-external	Chemistry	external	54
other-search	Science	other	60
United_States	Literature	other	50
other-external	Sports	external	46
Geography	Physics	link	47
Religion	Wikipedia	link	54
Sports	Literature	link	49
Art	Earth	external	54
other-empty	Art	link	61
Sports	Physics	other	55
other-search	Religion	link	45
other-internal	Earth	link	45
Art	World_War_II	link	54
Science	Religion	other	54
Science	United_States	other	50
Earth	Geography	link	54
History	Art	other	59
History	Religion	link	53
United_States	Earth	link	62
Science	Biology	other	59
Art	Sports	link	48
History	Philosophy	external	44
Religion	Literature	external	36
Philosophy	Sports	other	45
Wikipedia	Earth	external	68
Mathematics	Sports	external	65
World_War_II	Main_Page	external	47
World_War_II	Art	external	44
Wikipedia	Earth	external	56
History	Biology	other	57
Music	Music	link	54
History	Technology	link	42
Wikipedia	Literature	external	35
Religion	Physics	external	59
United_States	United_States	other	44
World_War_II	Sports	other	49
Literature	Main_Page	link	42
History	Literature	link	51
Literature	Science	external	51
Philosophy	Wikipedia	other	48
Philosophy	Science	other	55
Sports	Literature	other	52
Biology	History	external	49
Earth	Biology	external	46
Mathematics	Chemistry	link	52
Literature	Religion	external	36
Science	Wikipedia	other	48
Mathematics	Philosophy	other	45
other-search	Chemistry	other	56
other-internal	Literature	link	49
Literature	Wikipedia	other	62
Mathematics	Philosophy	link	57
other-internal	History	link	58
Earth	Technology	other	48
Sports	Art	external	49
Art	United_States	external	48
History	Music	other	54
Literature	Music	link	61
English_language	Biology	external	45
Chemistry	Religion	other	65
Music	Religion	external	59
Physics	Science	external	54
Art	United_States	other	50
United_States	English_language	other	42
United_States	Art	other	32
History	Art	link	50
other-external	Geography	external	61
Literature	Science	external	54
Music	Geography	external	48
United_States	Music	other	54
Mathematics	Geography	link	50
Philosophy	Biology	external	44
United_States	Philosophy	external	64
Technology	Technology	other	55
Music	Earth	other	46
Physics	Music	other	59
Art	Sports	other	39
Biology	Chemistry	other	59
Science	Religion	link	48
World_War_II	Earth	other	51
Mathematics	Science	link	41
Religion	Sports	other	47
Mathematics	Literature	other	52
World_War_II	Main_Page	other	49
Art	Mathematics	link	44
Biology	Main_Page	other	49
Physics	Geography	link	41
Wikipedia	Philosophy	external	60
other-internal	Chemistry	other	56
Religion	Earth	other	43
United_States	Biology	external	54
Science	United_States	link	45
other-search	Sports	external	61
Literature	Science	other	46
United_States	Earth	other	61
Biology	Mathematics	external	60
Geography	Biology	other	52
other-search	Music	link	45
Technology	Geography	link	59
Religion	United_States	other	49
World_War_II	English_language	external	44
Philosophy	Chemistry	other	42
other-search	Art	other	44
other-internal	Religion	link	44
Philosophy	History	other	47
Sports	Geography	external	43
other-external	World_War_II	other	58
Physics	Music	other	50
Literature	History	other	59
Biology	Chemistry	external	59
Earth	Wikipedia	other	43
Religion	Earth	link	36
Sports	Science	external	48
other-internal	Music	external	61
Religion	Geography	external	58
other-empty	Wikipedia	external	39
Main_Page	Sports	other	60
English_language	Physics	link	55
other-empty	Main_Page	other	38
other-internal	History	external	51
Philosophy	Technology	other	50
Music	Technology	link	47
other-external	United_States	other	50
Main_Page	United_States	other	37
Religion	Earth	external	65
Literature	Mathematics	link	40
Philosophy	Mathematics	other	35
Earth	Philosophy	external	68
Literature	Mathematics	other	52
United_States	Mathematics	link	44
Music	History	other	52
Religion	Physics	other	58
United_States	Earth	external	58
Wikipedia	United_States	other	61
English_language	Chemistry	external	54
United_States	Technology	link	58
Physics	Music	link	66
Wikipedia	Literature	other	57
Philosophy	Philosophy	external	58
Chemistry	Mathematics	other	49
Mathematics	Literature	external	30
Literature	World_War_II	link	56
Chemistry	Earth	other	59
Wikipedia	World_War_II	other	52
Religion	English_language	external	53
Geography	World_War_II	link	42
Geography	Main_Page	other	39
other-external	Philosophy	other	54
United_States	Wikipedia	other	47
other-empty	World_War_II	external	44
Main_Page	Wikipedia	other	52
Sports	Chemistry	link	66
other-empty	Chemistry	link	59
Art	Physics	other	50
Mathematics	History	other	51
Art	Sports	external	44
Main_Page	United_States	external	56
Earth	Biology	other	52
Chemistry	United_States	link	56
Philosophy	Philosophy	link	36
other-empty	Science	link	48
World_War_II	History	external	44
English_language	Literature	other	53
English_language	Sports	link	50
Sports	Mathematics	other	63
Technology	Main_Page	link	51
Mathematics	Main_Page	other	70
Technology	Chemistry	link	51
Science	Biology	other	46
Science	World_War_II	other	46
History	Philosophy	external	61
other-external	Wikipedia	other	55
other-internal	Literature	external	58
other-search	History	external	36
Wikipedia	Philosophy	external	53
Chemistry	Sports	link	47
History	Wikipedia	other	54
Main_Page	History	other	52
Science	Main_Page	other	43
Main_Page	United_States	other	48
Technology	Literature	other	56
Religion	Music	external	57
Music	Main_Page	other	66
History	Earth	link	45
Mathematics	Geography	external	47
Physics	Philosophy	other	44
Geography	Philosophy	other	33
Mathematics	Music	link	33
Chemistry	Mathematics	other	56
World_War_II	United_States	other	47
other-empty	Philosophy	other	48
Science	Mathematics	link	33
Mathematics	United_States	other	52
Art	Geography	other	45
Main_Page	Music	other	64
Technology	Art	link	52
World_War_II	History	other	51
Main_Page	Wikipedia	other	49
Biology	Mathematics	other	56
Science	English_language	link	45
Main_Page	Music	link	51
English_language	Technology	external	74
other-external	Philosophy	external	43
other-search	Biology	external	37
Sports	Technology	external	48
Science	Literature	link	55
Religion	Wikipedia	external	51
Chemistry	Chemistry	external	45
Art	Physics	external	44
English_language	History	external	43
Mathematics	United_States	link	46
other-empty	Earth	other	51
other-empty	Earth	other	53
Religion	World_War_II	external	49
other-internal	Art	link	42
other-empty	Literature	external	55
Science	Physics	link	45
English_language	Music	link	43
Geography	World_War_II	link	46
Art	Technology	external	56
United_States	Earth	other	47
Music	World_War_II	link	45
History	Main_Page	other	53
Wikipedia	Wikipedia	other	36
English_language	Religion	other	44
English_language	Biology	external	57
Main_Page	English_language	other	35
other-search	Physics	external	44
other-empty	Main_Page	link	45
Science	Philosophy	link	57
Geography	Religion	external	46
Geography	United_States	link	42
History	Biology	other	48
other-search	Wikipedia	other	52
other-internal	Chemistry	external	55
Sports	Art	external	62
other-internal	History	other	53
other-search	World_War_II	other	52
Philosophy	Science	link	48
Main_Page	Literature	external	47
Literature	Earth	other	52
Earth	Literature	other	45
Technology	World_War_II	link	59
Wikipedia	Mathematics	external	45
Literature	Art	external	45
Music	Music	other	51
Earth	Religion	external	57
United_States	Biology	link	38
other-search	World_War_II	link	55
United_States	Mathematics	external	52
United_States	History	link	63
Mathematics	Mathematics	other	54
Main_Page	Biology	link	48
other-external	Chemistry	external	54
Sports	English_language	other	52
Music	Geography	link	60
Wikipedia	Science	link	54
Religion	Religion	other	55
Technology	Science	external	41
World_War_II	Sports	link	37
Biology	English_language	other	37
other-search	Geography	external	42
Sports	Literature	external	56
Earth	Physics	external	56
Biology	Geography	other	48
Chemistry	Art	external	56
English_language	United_States	link	59
Earth	Chemistry	external	59
English_language	Geography	link	49
Literature	Main_Page	other	37
Main_Page	Biology	other	53
Mathematics	Wikipedia	link	54
Mathematics	Art	external	40
Mathematics	Earth	external	51
Wikipedia	Chemistry	link	55
Philosophy	Religion	external	48
Main_Page	Biology	other	62
Physics	Science	link	50
Sports	Literature	link	41
Wikipedia	Earth	other	47
Technology	Wikipedia	link	39
other-search	Music	external	55
Earth	English_language	other	52
Philosophy	World_War_II	external	50
Art	Religion	other	43
other-empty	United_States	other	66
Technology	Sports	other	48
Chemistry	Earth	external	42
Philosophy	Sports	external	54
Philosophy	Literature	external	55
English_language	Sports	other	48
Physics	World_War_II	other	51
Chemistry	Chemistry	link	61
Mathematics	Main_Page	external	45
Music	Biology	link	46
Literature	Religion	other	43
Philosophy	Biology	external	70
other-search	Sports	external	50
Science	Physics	external	46
Religion	Literature	external	47
other-search	Chemistry	external	38
other-search	Art	link	56
Biology	Sports	external	42
Science	English_language	link	63
Earth	Mathematics	external	47
Music	United_States	external	46
Wikipedia	Mathematics	other	55
Religion	Music	external	39
Art	Physics	link	46
other-external	Earth	other	60
Main_Page	History	external	48
Earth	United_States	other	44
Wikipedia	History	link	53
Religion	Music	link	67
Biology	World_War_II	external	57
United_States	Philosophy	external	61
Music	Art	other	49
Literature	Science	link	42
Physics	Art	link	57
Technology	Religion	link	48
other-empty	Religion	other	50
Physics	Sports	external	39
United_States	Technology	external	51
Chemistry	Wikipedia	external	43
Main_Page	United_States	link	56
Mathematics	Philosophy	external	61
Science	Literature	link	54
other-internal	Physics	external	47
other-search	Music	link	52
English_language	English_language	external	54
Music	Mathematics	other	43
other-external	Science	external	56
other-empty	Music	other	53
Sports	Music	link	47
Music	Chemistry	link	59
United_States	Religion	other	49
Mathematics	United_States	other	49
Physics	Wikipedia	link	45
other-search	History	external	45
United_States	Wikipedia	link	61
History	Main_Page	external	43
Music	Physics	external	69
Biology	Chemistry	external	40
World_War_II	Music	link	38
Science	Physics	external	48
Chemistry	Chemistry	other	63
World_War_II	Wikipedia	external	43
other-search	Mathematics	other	53
Art	Biology	other	57
other-empty	Philosophy	link	51
Religion	Art	external	44
Literature	English_language	other	53
Sports	World_War_II	other	46
Main_Page	Main_Page	other	47
other-empty	Technology	external	48
World_War_II	Music	link	36
Biology	Science	external	57
Religion	Geography	external	40
Earth	Technology	external	51
Mathematics	Biology	other	60
Mathematics	Technology	external	56
Science	Biology	other	42
Earth	Earth	other	37
English_language	Chemistry	external	56
other-search	Sports	external	49
Science	Philosophy	other	62
Chemistry	History	external	54
Biology	Geography	other	54
Biology	Mathematics	link	45
Wikipedia	Geography	other	40
Religion	Physics	link	50
other-internal	Physics	other	40
Main_Page	Literature	link	53
Art	Technology	other	55
Music	Sports	link	49
Philosophy	Technology	external	38
United_States	Mathematics	external	49
Physics	United_States	other	52
Physics	Earth	link	54
History	Earth	link	35
other-search	English_language	external	61
Religion	Wikipedia	other	49
Wikipedia	Wikipedia	link	48
Literature	Main_Page	external	35
other-empty	Technology	other	42
other-empty	Geography	other	40
Science	Philosophy	other	57
Biology	World_War_II	external	44
Technology	Wikipedia	external	49
Chemistry	Physics	other	53
Art	Sports	other	49
Earth	Biology	external	52
Earth	Earth	link	50
Science	Chemistry	link	36
Art	Philosophy	external	60
Physics	Religion	external	47
Religion	Religion	link	37
Art	Biology	other	41
History	Wikipedia	external	57
Biology	Art	link	48
Religion	Religion	other	56
Music	Biology	external	42
United_States	Geography	link	57
Literature	Chemistry	other	50
Mathematics	Main_Page	link	59
Biology	Main_Page	other	44
Art	Philosophy	other	56
Biology	Biology	link	61
Wikipedia	English_language	other	45
Mathematics	United_States	external	53
Music	Science	other	45
Geography	Mathematics	other	52
Science	History	link	59
United_States	Philosophy	external	40
Literature	History	external	56
Music	Wikipedia	link	45
English_language	United_States	link	36
United_States	Art	link	54
Religion	Religion	link	39
Technology	Music	external	43
other-empty	Geography	other	58
Mathematics	Religion	other	53
other-external	Music	link	58
Biology	Biology	link	52
other-empty	Main_Page	link	42
other-internal	Biology	external	42
World_War_II	Philosophy	external	58
Main_Page	Biology	external	58
Technology	Physics	external	55
History	Science	link	42
Earth	Biology	other	44
Mathematics	Geography	other	50
United_States	Art	link	53
Religion	Main_Page	other	40
Technology	World_War_II	external	43
Science	Sports	other	63
Biology	World_War_II	external	43
other-search	United_States	external	48
History	Literature	other	46
English_language	Main_Page	external	42
Biology	Geography	external	46
Mathematics	Philosophy	link	49
Geography	Religion	other	42
Technology	English_language	external	56
other-empty	English_language	external	53
World_War_II	Earth	other	46
Religion	Religion	link	41
World_War_II	Wikipedia	other	55
other-internal	Main_Page	link	52
Biology	Literature	link	49
Geography	Biology	link	49
History	Biology	link	49
Physics	Science	external	56
Sports	Art	other	46
Biology	Geography	link	42
Art	Earth	other	49
English_language	Wikipedia	link	60
Art	Earth	link	53
Chemistry	History	other	56
History	Geography	external	53
Art	Mathematics	other	42
English_language	Music	external	45
other-search	Main_Page	external	55
Technology	Physics	link	53
Physics	Literature	external	47
other-search	Biology	other	49
Science	English_language	link	55
United_States	Philosophy	link	70
Main_Page	Religion	other	54
Chemistry	Technology	external	56
History	Literature	other	44
Mathematics	Chemistry	external	55
History	United_States	other	49
other-empty	Philosophy	external	55
Chemistry	United_States	external	45
Main_Page	Philosophy	other	57
Technology	Art	other	52
other-empty	Art	other	61
Sports	Music	link	51
English_language	Chemistry	link	42
Philosophy	United_States	link	51
Mathematics	Biology	link	56
English_language	Earth	external	54
Music	Philosophy	link	48
Sports	Biology	external	44
History	History	link	52
Art	Mathematics	link	50
English_language	World_War_II	link	47
Music	Chemistry	external	40
Technology	Science	external	48
Science	Physics	link	38
other-empty	History	external	56
Sports	English_language	link	40
English_language	Philosophy	other	42
Philosophy	Religion	external	49
Chemistry	English_language	external	53
Science	Music	other	46
Main_Page	Wikipedia	external	52
Earth	Mathematics	link	60
United_States	World_War_II	link	45
Sports	Wikipedia	other	45
Physics	Chemistry	external	44
Wikipedia	United_States	other	56
Earth	Music	external	52
United_States	Main_Page	external	42
Literature	Sports	link	54
Music	Geography	link	58
other-external	Sports	link	56
Science	Physics	external	44
Earth	Religion	link	51
Music	Music	external	49
World_War_II	Literature	link	63
other-external	Technology	link	57
Wikipedia	Biology	other	52
Geography	Technology	external	38
other-external	Earth	other	45
Biology	Art	link	49
United_States	Geography	external	56
other-internal	Art	other	48
Technology	Mathematics	external	63
Literature	Chemistry	link	47
Earth	Science	link	51
Wikipedia	Music	link	50
other-empty	Geography	external	55
other-internal	Art	link	54
Religion	Science	external	53
Philosophy	Wikipedia	external	55
Literature	History	other	39
other-empty	Religion	link	42
other-empty	United_States	external	49
other-external	Physics	other	36
Main_Page	Science	link	59
Science	English_language	external	54
Main_Page	Main_Page	external	59
Mathematics	Mathematics	link	41
Chemistry	Sports	other	40
Art	Main_Page	other	57
English_language	Technology	link	53
English_language	United_States	link	46
Biology	Mathematics	external	44
Science	Physics	external	56
Main_Page	History	external	61
World_War_II	Religion	other	49
History	Main_Page	other	50
Music	Literature	external	47
Biology	Religion	link	47
Music	Music	link	44
English_language	Biology	link	49
History	Technology	other	54
other-external	Philosophy	other	35
Physics	Geography	link	52
other-internal	Literature	other	48
other-search	Main_Page	external	44
other-external	Earth	other	50
Main_Page	Philosophy	external	50
Literature	Wikipedia	other	44
Philosophy	Wikipedia	external	47
Geography	English_language	external	46
Biology	Chemistry	external	40
other-internal	Biology	link	42
other-search	Biology	link	36
Sports	Wikipedia	other	45
Physics	Earth	link	48
Main_Page	Art	external	55
Biology	Music	link	45
Geography	Music	link	59
Literature	Philosophy	other	54
United_States	United_States	external	46
History	Earth	other	59
History	Mathematics	other	55
Philosophy	Sports	other	49
other-search	Earth	other	33
other-empty	Religion	external	47
United_States	Mathematics	external	47
English_language	Technology	link	54
Religion	Literature	other	56
other-empty	Wikipedia	other	53
Main_Page	Mathematics	link	61
Mathematics	Mathematics	other	45
Science	Chemistry	external	50
Philosophy	Biology	other	45
Earth	Religion	link	45
History	Philosophy	external	43
Religion	Earth	external	60
History	Religion	other	56
Technology	Main_Page	link	53
Main_Page	Chemistry	external	53
Physics	World_War_II	other	58
Mathematics	Literature	other	51
Technology	Religion	link	40
Geography	World_War_II	external	44
Main_Page	Technology	link	40
other-external	Religion	other	55
Music	Art	link	48
Religion	Religion	other	49
Religion	Literature	external	62
Physics	United_States	external	41
Philosophy	World_War_II	external	63
English_language	Wikipedia	other	46
Wikipedia	United_States	external	51
English_language	World_War_II	external	58
Music	Technology	other	58
Wikipedia	Art	external	42
Technology	Art	link	55
Earth	Technology	other	50
Earth	Philosophy	link	37
English_language	Science	other	65
other-internal	Music	external	50
World_War_II	Geography	external	56
Geography	Physics	link	46
other-external	History	external	54
Philosophy	History	other	40
Wikipedia	Science	other	57
Literature	Geography	other	38
other-search	Main_Page	link	46
Wikipedia	Physics	other	46
Biology	Religion	other	50
Music	Sports	other	50
Literature	World_War_II	other	47
Art	Science	other	60
English_language	Religion	other	46
Chemistry	Earth	other	55
Religion	World_War_II	other	48
other-search	Philosophy	external	40
Geography	Religion	link	53
Physics	Physics	link	57
Technology	Religion	external	58
Science	Sports	external	52
Religion	English_language	other	49
Philosophy	Physics	link	56
Sports	World_War_II	link	54
Literature	Technology	other	52
Philosophy	World_War_II	other	59
Technology	Main_Page	link	53
United_States	Religion	external	53
History	English_language	link	54
World_War_II	Sports	other	46
Mathematics	Geography	link	52
Biology	Earth	link	43
Philosophy	Technology	external	54
Religion	Philosophy	external	50
other-search	Geography	external	70
Science	Mathematics	other	54
United_States	Philosophy	other	49
Philosophy	Technology	other	59
World_War_II	Sports	external	38
Religion	Philosophy	link	41
Philosophy	Philosophy	other	43
Wikipedia	Literature	other	53
World_War_II	Science	link	52
Biology	World_War_II	other	59
Physics	Wikipedia	external	56
Chemistry	United_States	link	65
Science	United_States	external	50
History	History	external	48
Literature	United_States	external	55
United_States	Science	link	40
Earth	Technology	link	51
Wikipedia	Biology	other	55
other-internal	Earth	other	51
Biology	Chemistry	other	46
Art	Sports	link	52
Mathematics	United_States	other	51
Sports	Literature	external	40
Literature	Science	external	55
other-empty	Philosophy	link	41
other-external	Wikipedia	link	42
Technology	Literature	link	63
other-empty	Physics	external	40
Religion	Biology	link	39
English_language	Sports	link	51
Science	Biology	external	43
Music	History	link	54
History	Music	other	41
Earth	Sports	link	41
other-search	Sports	other	54
United_States	World_War_II	other	57
Religion	Geography	link	58
World_War_II	Main_Page	link	49
Geography	Main_Page	other	67
Technology	Earth	other	52
Philosophy	Art	external	49
other-external	Technology	other	41
United_States	Main_Page	link	49
Main_Page	Music	other	52
Music	Religion	external	43
Chemistry	Religion	other	54
Religion	Wikipedia	link	58
Earth	Philosophy	external	49
other-external	Science	external	45
Literature	History	other	59
Music	Philosophy	other	47
Philosophy	English_language	external	46
Science	Science	other	47
World_War_II	Science	external	49
Main_Page	Literature	external	62
World_War_II	Physics	link	46
Art	Religion	external	43
other-empty	Art	link	55
World_War_II	English_language	link	41
Art	Music	other	48
other-empty	Geography	external	40
English_language	Science	external	67
English_language	Religion	other	48
Music	Religion	other	57
Religion	Art	external	50
World_War_II	Philosophy	external	43
other-external	Main_Page	external	46
other-search	Music	other	53
other-search	Literature	link	53
other-external	Main_Page	external	49
United_States	Religion	other	49
other-search	Philosophy	link	60
Art	Mathematics	link	47
Philosophy	Chemistry	link	49
Religion	Sports	other	44
World_War_II	World_War_II	external	50
Philosophy	Earth	link	43
United_States	Geography	link	59
Music	Music	other	45
other-empty	United_States	other	41
Science	Art	other	64
Sports	United_States	external	65
United_States	Technology	external	39
Literature	Geography	other	51
other-search	Physics	other	46
Science	Geography	link	46
Main_Page	Geography	other	50
Geography	Philosophy	external	50
Art	Philosophy	external	51
Biology	Philosophy	link	48
Geography	Art	external	41
Main_Page	Religion	link	48
Sports	United_States	link	36
Philosophy	Religion	external	57
Art	Science	link	51
other-internal	Science	external	56
Art	Art	other	47
English_language	Biology	other	59
Chemistry	Science	external	37
Religion	Geography	link	53
World_War_II	Earth	other	43
Science	Chemistry	link	58
Technology	Philosophy	other	52
World_War_II	Earth	other	61
Music	English_language	link	49
Physics	Chemistry	link	58
Earth	Religion	external	59
Philosophy	Religion	other	50
other-search	History	link	55
Mathematics	Sports	link	60
Earth	Physics	other	56
Art	Art	external	54
Chemistry	Main_Page	link	46
other-search	Religion	other	59
Science	Geography	other	46
Music	Biology	other	45
Physics	Literature	external	56
United_States	Biology	other	61
Geography	Chemistry	other	47
Technology	Philosophy	link	55
Earth	Music	other	46
Biology	World_War_II	link	47
Biology	Physics	link	44
World_War_II	Philosophy	link	57
Wikipedia	United_States	link	52
Chemistry	Earth	other	44
Art	Religion	other	43
English_language	Main_Page	external	36
other-external	Philosophy	link	52
English_language	Science	link	47
English_language	Wikipedia	link	55
Geography	Philosophy	external	55
World_War_II	Main_Page	external	43
Philosophy	Earth	external	50
Mathematics	Main_Page	link	44
United_States	Main_Page	external	40
World_War_II	Art	external	42
Biology	Geography	link	55
History	Art	external	54
Earth	Geography	other	44
United_States	Art	external	66
Music	Chemistry	external	63
other-external	Music	link	52
Geography	Main_Page	link	52
other-search	World_War_II	other	52
other-search	Music	external	45
History	Physics	other	49
Geography	Geography	link	50
Art	World_War_II	external	43
Art	Chemistry	link	59
other-search	World_War_II	external	52
Physics	United_States	other	39
Religion	Mathematics	other	43
other-internal	Sports	link	59
Art	Geography	other	47
Mathematics	Earth	external	48
Philosophy	Religion	external	49
Music	Religion	other	46
Geography	Science	external	62
Art	Main_Page	other	51
Mathematics	Mathematics	other	44
Technology	Physics	link	49
other-internal	Physics	external	48
English_language	Biology	link	42
Biology	Earth	link	57
Art	Geography	other	52
Chemistry	Music	external	49
Geography	Art	link	67
Wikipedia	Art	other	40
other-empty	Physics	link	41
Religion	History	link	53
Wikipedia	Sports	external	53
Main_Page	World_War_II	other	70
Earth	Literature	other	50
Religion	Literature	link	50
Chemistry	History	external	60
Science	Music	external	47
other-search	Technology	other	80
History	United_States	other	52
English_language	Main_Page	other	56
other-search	Literature	external	41
Geography	Technology	external	43
Philosophy	Mathematics	external	61
Art	Chemistry	external	49
Science	Art	link	58
Science	Literature	other	51
Geography	Sports	link	54
other-external	United_States	external	50
Chemistry	Geography	link	43
Earth	Geography	link	45
Wikipedia	Wikipedia	link	57
History	Main_Page	external	44
Chemistry	World_War_II	external	59
other-internal	Religion	other	44
other-internal	Geography	link	49
Technology	Mathematics	link	50
Wikipedia	Main_Page	other	47
Geography	History	link	72
Mathematics	Philosophy	external	67
Geography	Geography	other	53
other-internal	Literature	other	65
Wikipedia	Sports	external	52
English_language	Chemistry	link	54
Mathematics	Physics	other	38
other-internal	Geography	link	49
History	United_States	external	31
Technology	English_language	other	45
Biology	History	external	44
United_States	Philosophy	other	37
Geography	Wikipedia	external	57
Biology	History	external	48
Biology	Chemistry	other	49
Philosophy	Technology	other	58
other-external	History	link	51
World_War_II	United_States	external	49
Mathematics	Main_Page	other	35
Technology	Biology	link	49
World_War_II	Wikipedia	other	51
Geography	History	external	54
Science	Science	link	39
World_War_II	Science	external	45
Technology	Philosophy	other	46
Mathematics	Religion	link	44
Literature	Chemistry	external	40
Science	Mathematics	link	46
History	English_language	link	51
Music	Music	link	44
Literature	Geography	external	49
United_States	Main_Page	link	43
Literature	History	link	45
Art	Geography	other	45
Sports	Geography	other	58
Art	Religion	other	41
Art	English_language	link	43
English_language	Science	link	53
Sports	Wikipedia	other	55
United_States	Chemistry	other	42
Sports	United_States	external	52
English_language	Wikipedia	external	60
Science	Wikipedia	other	46
other-internal	Wikipedia	other	60
Biology	Biology	link	41
Philosophy	Wikipedia	link	44
Physics	Literature	link	54
Main_Page	History	other	43
Philosophy	Sports	external	53
Music	United_States	link	40
Science	Biology	other	50
Chemistry	Religion	other	57
Mathematics	Music	external	47
other-external	Main_Page	link	54
World_War_II	Mathematics	other	62
Mathematics	Geography	other	56
Religion	Religion	link	56
other-empty	English_language	external	45
other-empty	Chemistry	other	37
World_War_II	Earth	external	56
English_language	Sports	other	35
Philosophy	Geography	external	37
Biology	Geography	external	54
Art	History	link	56
Art	History	external	39
History	Technology	other	40
Philosophy	World_War_II	other	48
Earth	Literature	external	45
English_language	Earth	other	52
Science	Religion	link	42
Wikipedia	Sports	link	56
Sports	Music	link	50
United_States	Science	other	59
Earth	United_States	link	51
World_War_II	Philosophy	other	54
Technology	Music	link	46
Wikipedia	Chemistry	other	47
other-external	Philosophy	other	44
Technology	Earth	external	52
Sports	Religion	link	60
Philosophy	Earth	other	48
Wikipedia	Main_Page	link	48
other-search	Chemistry	external	53
Science	Earth	link	54
